Gene,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
P00854,0.062429059,0.085549131,0.138478994,0.10573677699999999,0.19079686699999998,0.111111112,0.054171178,0.021943572999999997,0.071428575,0.229820639,0.10159817300000001,0.17664973399999995,0.10792192800000001,0.18295455,0.10722347300000001,0.13698629999999998,0.130434781,0.06632652900000001,0.094034374,0.092872575,0.070857137,0.041194644,0.108369105,0.026812315,0.15018315599999998,0.15976332099999999,0.10407239900000001,0.183569998,0.142561987,0.136554629,0.151481897,0.088998757,0.11098901900000001,0.07677165400000001,0.050556116,0.076763481
Q9ZZW7,0.451759368,0.552601159,0.365493774,0.446569204,0.549943924,0.273420483,0.214517862,0.276906997,0.261501223,0.630044878,0.26598173399999997,0.629441619,0.352468461,0.7340909240000001,0.61625278,0.552511454,0.618729115,0.392857134,0.5055611729999999,0.446004301,0.20457142600000008,0.18537589899999998,0.25965666800000003,0.21251241899999998,0.853479862,0.740828395,0.47398191700000003,0.759634912,0.530991733,0.3655462270000001,0.538968146,0.39307785,0.320879132,0.383858263,0.17997975600000002,0.293568432
P03879,0.026106697,0.011560693,0.019296255,0.008998876,0.057239059,0.029411765,0.020585047,0.006269593,0.060532689,0.007847534,0.020547945,0.0020304570000000003,0.039035596,0.080681823,0.028216705,0.039954338,0.045707915,0.001020408,0.024266936,0.006479482,0.004571429,0.0020597320000000003,0.004291845,0.002979146,0.00976801,0.031952664,0.009049774,0.002028398,0.003099174,0.007352941,0.009879254,0.0037082820000000002,0.020879121,0.002952756,0.001011122,0.014522821000000003
P61829,0.024971623,0.006936416,0.024971623,0.043869517999999996,0.032547701,0.01416122,0.013001083,0.044932082000000005,0.064164653,0.034753364,0.020547945,0.026395937,0.019517798,0.003409091,0.011286682,0.012557078000000001,0.0122631,0.009183673,0.006066734,0.025917927,0.023999997999999998,0.030895982000000002,0.010729613999999998,0.01489573,0.028083028,0.010650887,0.06447963400000001,0.031440161,0.007231405,0.004201681,0.007683864,0.0049443759999999995,0.032967035,0.00984252,0.016177958,0.028008297
P34111,1.154370006,1.5982658265,1.6753688009999999,1.358267695,1.261503985,1.2957516535,1.2058504635,1.106060684,0.4546005055,0.7847533935000001,1.527968004,1.049238626,1.3857635335,1.4113636615,1.6196386815,1.595319603,1.5986622425,1.3127551155,1.0207279365000002,0.7181425395000001,1.6325714325,0.979402639,1.3251072170000002,1.294935465,1.518315021,1.7816567980000002,1.4971719980000002,1.3402637095,1.3688015750000002,1.2652311550000002,1.3660811894999998,0.634734228,0.986813225,0.9857283385,1.489383057,1.2863070515
P39702,0.709421098,1.238150239,1.179341674,0.7581552859999999,0.9809203740000001,0.974945545,0.851570904,0.829676092,0.6525424120000001,0.465246648,0.761415482,0.602030456,0.8840413690000001,0.882954538,1.194130898,1.01255703,1.081382394,1.059183717,0.783619761,0.558315337,1.398857117,0.723995924,0.902360499,1.0109236240000001,0.742368758,1.050887585,0.97285068,0.876267791,0.8316115740000001,0.77836138,0.9934138659999999,0.7354758379999999,0.789011061,0.667322874,0.784630895,0.871369243
P32471,19.064700125,7.217340946,14.918274879999998,18.206412315,19.6975317,23.5010891,25.23293495,29.60606003,44.39164734,29.39854336,26.110731125,20.017259600000006,18.10218239,7.0500001905000005,11.0671555985,16.55194092,29.032329555,21.803570745,23.17795658,32.87040901,48.62685776,24.43511772,26.972640035,21.586395265,19.9987793,7.9733726975,13.995475295000002,13.900102135,19.10743713,20.026786805,24.987377165,34.896783830000004,35.94450569,18.426672935,21.616784095,18.080911635
P39703,0.315550506,0.46473988899999996,0.592508554,0.497187883,0.638608336,0.383442283,0.494041145,0.514106631,0.17070218899999998,0.483183861,0.23630137699999998,0.262944162,0.475315779,0.757954538,0.547404051,0.666666687,1.0167223220000001,0.303061217,0.512638986,0.261339098,0.418285698,0.34912461,0.198497847,0.12313803300000001,0.4969475270000001,0.47692307799999994,0.47171947399999997,0.330628812,0.43078512,0.487394989,0.320526898,0.119901106,0.253846169,0.337598413,0.17997975600000002,0.118257247
P10591,66.40030161666667,85.07090252333334,89.13318189333334,97.67679148333332,98.59932963,68.88562075333333,83.56373853333331,78.34935632333334,47.304682413666676,85.58296333333331,79.51902835666667,60.22741063666666,84.97474608,91.70227624666668,88.17456438666666,101.67732367333332,108.63396199666666,55.63945770333334,52.81024233333333,59.31569353666666,81.05752182333333,48.09749476000001,58.60372066666667,55.23998832666666,82.55433526,86.27179780333334,90.57880909,52.68661562666667,66.45661036,64.31302770333333,67.99890518333333,53.60279798433334,63.57802391333333,46.51968511333333,47.16110293,45.10511366666666
P39704,2.329171419,1.714450836,1.244040847,1.3847019669999998,1.407407522,1.129629612,1.144095302,1.27377224,1.6041162009999999,2.883408308,2.896118641,2.567512512,1.351320386,1.69204545,1.45259583,1.404109597,1.315496087,1.03061223,1.21031332,1.7980561259999999,3.6628570560000004,3.484036922,2.078326225,3.535253286,1.4822955130000002,1.286390543,1.337104082,0.9979716540000001,1.1043388840000001,0.923319399,1.09110868,1.053151965,3.5923078060000004,3.3139765260000003,1.753286004,2.604771614
